"Hora inicio","Hora fin","Título","Fecha inicio","Fecha fin","Canal"
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-07","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-07","2012-10-08","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-08","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-08","2012-10-09","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-09","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-09","2012-10-10","PP8T",
